iter	Passed	Remaining
0	16	16277
1	19	9862
2	24	7984
3	27	6812
4	30	5987
5	32	5343
6	34	4901
7	36	4513
8	38	4193
9	39	3955
10	42	3818
11	44	3657
12	46	3516
13	48	3394
14	50	3288
15	51	3177
16	53	3075
17	54	2990
18	56	2924
19	58	2852
20	60	2803
21	61	2754
22	63	2706
23	65	2654
24	66	2605
25	68	2554
26	69	2510
27	71	2477
28	73	2454
29	75	2428
30	76	2404
31	78	2382
32	80	2359
33	82	2340
34	84	2321
35	86	2311
36	88	2295
37	90	2278
38	91	2264
39	93	2251
40	95	2239
41	97	2228
42	99	2216
43	101	2202
44	103	2190
45	105	2180
46	107	2169
47	108	2159
48	110	2149
49	112	2141
50	114	2133
51	116	2124
52	118	2111
53	119	2094
54	121	2086
55	123	2079
56	124	2067
57	126	2052
58	127	2039
59	129	2026
60	131	2018
61	133	2012
62	134	2006
63	136	1998
64	138	1986
65	139	1974
66	140	1963
67	142	1952
68	143	1941
69	145	1930
70	146	1920
71	148	1908
72	149	1899
73	151	1889
74	152	1881
75	154	1873
76	155	1863
77	157	1860
78	159	1857
79	161	1852
80	162	1847
81	164	1843
82	166	1834
83	167	1829
84	169	1827
85	171	1824
86	173	1820
87	175	1815
88	177	1812
89	179	1809
90	180	1806
91	182	1803
92	184	1800
93	187	1804
94	189	1804
95	191	1802
96	193	1800
97	195	1796
98	196	1792
99	198	1789
100	200	1788
101	202	1785
102	204	1781
103	206	1778
104	208	1775
105	210	1772
106	212	1770
107	214	1767
108	215	1764
109	217	1761
110	219	1757
111	221	1755
112	223	1753
113	225	1750
114	227	1747
115	229	1745
116	231	1744
117	233	1742
118	235	1740
119	236	1737
120	238	1734
121	240	1731
122	242	1726
123	243	1721
124	245	1715
125	246	1709
126	248	1705
127	249	1700
128	251	1694
129	252	1689
130	253	1684
131	255	1679
132	256	1673
133	258	1668
134	259	1663
135	261	1659
136	262	1654
137	264	1652
138	266	1650
139	268	1648
140	270	1646
141	272	1643
142	274	1644
143	276	1643
144	278	1640
145	280	1638
146	282	1637
147	284	1636
148	286	1634
149	288	1632
150	289	1629
151	291	1627
152	293	1625
153	295	1623
154	297	1621
155	299	1619
156	301	1616
157	303	1615
158	305	1613
159	306	1610
160	308	1608
161	310	1606
162	312	1604
163	313	1597
164	315	1595
165	317	1592
166	318	1590
167	320	1588
168	322	1586
169	324	1584
170	326	1582
171	328	1580
172	330	1578
173	332	1576
174	333	1574
175	335	1571
176	337	1569
177	338	1564
178	340	1560
179	341	1556
180	343	1552
181	344	1548
182	346	1544
183	347	1540
184	348	1537
185	350	1533
186	351	1529
187	353	1525
188	354	1521
189	356	1517
190	357	1514
191	359	1510
192	360	1508
193	363	1508
194	365	1506
195	366	1505
196	368	1503
197	370	1502
198	372	1500
199	374	1499
200	376	1497
201	378	1495
202	380	1493
203	382	1491
204	384	1489
205	385	1487
206	387	1485
207	389	1484
208	392	1484
209	393	1482
210	395	1480
211	397	1478
212	399	1476
213	401	1474
214	403	1473
215	405	1471
216	407	1469
217	409	1467
218	410	1465
219	412	1463
220	414	1460
221	416	1459
222	418	1457
223	420	1455
224	421	1453
225	423	1451
226	425	1448
227	427	1446
228	429	1444
229	430	1442
230	432	1439
231	434	1437
232	436	1435
233	438	1434
234	439	1431
235	441	1428
236	442	1425
237	444	1422
238	445	1418
239	447	1415
240	448	1412
241	449	1409
242	451	1406
243	452	1403
244	454	1400
245	455	1397
246	457	1394
247	459	1392
248	461	1390
249	462	1388
250	464	1386
251	466	1384
252	468	1383
253	470	1381
254	472	1379
255	474	1377
256	476	1376
257	478	1375
258	480	1374
259	482	1372
260	484	1370
261	486	1369
262	488	1368
263	489	1365
264	491	1364
265	493	1362
266	495	1360
267	497	1358
268	499	1357
269	501	1355
270	503	1353
271	504	1351
272	506	1349
273	508	1347
274	510	1345
275	512	1343
276	514	1341
277	515	1340
278	517	1338
279	519	1335
280	521	1334
281	523	1331
282	524	1329
283	526	1328
284	528	1326
285	530	1323
286	531	1320
287	533	1318
288	534	1315
289	535	1312
290	537	1309
291	538	1306
292	540	1303
293	541	1300
294	543	1298
295	544	1295
296	545	1292
297	547	1289
298	549	1287
299	550	1285
300	552	1283
301	554	1282
302	556	1280
303	558	1278
304	560	1277
305	562	1275
306	564	1273
307	566	1271
308	567	1269
309	569	1268
310	571	1266
311	573	1264
312	575	1262
313	577	1260
314	579	1259
315	581	1258
316	583	1256
317	585	1255
318	587	1253
319	589	1251
320	590	1250
321	592	1248
322	594	1246
323	596	1245
324	598	1243
325	600	1241
326	602	1239
327	604	1238
328	606	1236
329	607	1234
330	609	1232
331	611	1230
332	613	1228
333	615	1226
334	617	1225
335	618	1223
336	620	1221
337	622	1219
338	624	1218
339	626	1216
340	628	1215
341	630	1213
342	632	1211
343	633	1208
344	635	1206
345	636	1203
346	638	1201
347	639	1198
348	641	1195
349	642	1193
350	644	1191
351	645	1188
352	647	1186
353	648	1183
354	649	1180
355	651	1179
356	653	1177
357	655	1175
358	657	1173
359	659	1171
360	660	1169
361	662	1168
362	664	1166
363	667	1165
364	669	1164
365	671	1162
366	673	1161
367	675	1159
368	677	1158
369	679	1156
370	681	1155
371	683	1153
372	685	1151
373	686	1149
374	688	1148
375	690	1146
376	692	1144
377	694	1142
378	696	1140
379	698	1139
380	699	1137
381	701	1135
382	703	1133
383	705	1131
384	707	1129
385	709	1128
386	710	1126
387	712	1124
388	714	1122
389	716	1120
390	718	1118
391	720	1117
392	722	1115
393	723	1113
394	725	1110
395	726	1108
396	728	1106
397	729	1103
398	731	1101
399	732	1098
400	733	1096
401	735	1093
402	736	1091
403	738	1089
404	739	1086
405	741	1084
406	742	1081
407	743	1079
408	745	1076
409	746	1074
410	748	1072
411	750	1071
412	752	1069
413	754	1068
414	757	1067
415	759	1065
416	760	1063
417	762	1061
418	764	1060
419	766	1058
420	768	1057
421	770	1055
422	772	1053
423	774	1051
424	775	1049
425	777	1047
426	779	1046
427	781	1044
428	783	1042
429	785	1040
430	787	1039
