Data,Samples,Features,Clean,Anomaly,per_Anamaly,Category
abalone,4177,7,2096,2081,49.82,Biology
ALOI,49534,27,48026,1508,3.04,Image
annthyroid,7200,6,6666,534,7.42,Healthcare
Arrhythmia,450,259,244,206,45.78,Healthcare
breastw,683,9,444,239,34.99,Healthcare
cardio,1831,21,1655,176,9.61,Healthcare
Cardiotocography,2114,21,1648,466,22.04,Healthcare
comm.and.crime,1994,101,1001,993,49.8,Socio-economic
concrete,1030,8,515,515,50.0,Physical
cover,286048,10,283301,2747,0.96,Botany
fault,1941,27,1268,673,34.67,Physical
glass,214,7,205,9,4.21,Forensic
HeartDisease,270,13,150,120,44.44,Healthcare
Hepatitis,80,19,67,13,16.25,Healthcare
http,567498,3,565287,2211,0.39,Web
imgseg,2310,18,1320,990,42.86,Image
InternetAds,1966,1555,1598,368,18.72,Image
Ionosphere,351,32,225,126,35.9,Oryctognosy
landsat,6435,36,5102,1333,20.71,Astronautics
letter,1600,32,1500,100,6.25,Image
Lymphography,148,18,142,6,4.05,Healthcare
magic.gamma,19020,10,12332,6688,35.16,Physical
mammography,11183,6,10923,260,2.32,Healthcare
mnist,7603,100,6903,700,9.21,Image
musk,3062,166,2965,97,3.17,Chemistry
optdigits,5216,64,5066,150,2.88,Image
PageBlocks,5393,10,4883,510,9.46,Document
Parkinson,195,22,48,147,75.38,Healthcare
pendigits,6870,16,6714,156,2.27,Image
Pima,768,8,500,268,34.9,Healthcare
satellite,6435,36,4399,2036,31.64,Astronautics
satimage-2,5803,36,5732,71,1.22,Astronautics
shuttle,49097,9,45586,3511,7.15,Astronautics
skin,245057,3,194198,50859,20.75,Image
smtp,95156,3,95126,30,0.03,Web
SpamBase,4207,57,2528,1679,39.91,Document
speech,3686,400,3625,61,1.65,Linguistics
Stamps,340,9,309,31,9.12,Document
thyroid,3772,6,3679,93,2.47,Healthcare
vertebral,240,6,210,30,12.5,Biology
vowels,1456,12,1406,50,3.43,Linguistics
Waveform,3443,21,3343,100,2.9,Physics
WBC,223,9,213,10,4.48,Healthcare
WDBC,367,30,357,10,2.72,Healthcare
Wilt,4819,5,4562,257,5.33,Botany
wine,129,13,119,10,7.75,Chemistry
WPBC,198,33,151,47,23.74,Healthcare
yeast,1484,8,977,507,34.16,Biology
CIFAR10,5263,512,5000,263,5.0,Image
FashionMNIST,6315,512,6000,315,5.0,Image
SVHN,5208,512,4948,260,5.0,Image
agnews,10000,768,9500,500,5.0,NLP
amazon,10000,768,9500,500,5.0,NLP
imdb,10000,768,9500,500,5.0,NLP
yelp,10000,768,9500,500,5.0,NLP
