,GANomaly,XGBOD,DeepSAD,REPEN,DevNet,PReNet,FEAWAD
0.01,,,,,,,
0.05,,,,,,,
0.1,,,,,,,
0.25,,,,,,,
0.5,,,,,,,
0.75,,,,,,,
1.0,,,,,,,
0.01,0.0014594092245542513,0.0017547636440427943,0.001964995285733171,0.003530417679388035,0.0010339986607183426,0.0010061944738325032,0.0010494108914660004
0.05,0.0014408914201742972,0.0026506175661629877,0.01231977338367999,0.0024555857235862002,0.002026913063501641,0.0019494195573387192,0.0024832392801453734
0.1,0.0014794747326857885,0.003422903185273328,0.004752993642000351,0.006086187977778028,0.0014168100762103572,0.001580286079397043,0.006944909077383718
0.25,0.0014932271600940521,0.001580899815983958,0.0023147190824947157,0.0012601611021089314,0.0013422900921616402,0.0013878787920846671,0.002827257240602376
0.5,0.001605805563333804,0.0016961017726728573,0.002621033493876457,0.00667784083367214,0.0010348396407721717,0.001037129775809459,0.0015763386806740293
0.75,0.0017470775169109022,0.0014962001893771431,0.002357180653276258,0.00551360489313909,0.000990438904463619,0.0010113580882116573,0.0011121243397473704
1,0.0018147623276412292,0.001784499239003484,0.002442059005499218,0.0021134654259440384,0.0010974957190434274,0.001143392158100032,0.003965450594108616
