,GANomaly,XGBOD,DeepSAD,REPEN,DevNet,PReNet,FEAWAD
0.01,,,,,,,
0.05,,,,,,,
0.1,,,,,,,
0.25,,,,,,,
0.5,,,,,,,
0.75,,,,,,,
1.0,,,,,,,
0.01,[0.08597955 0.21848166 0.08010678 ... 0.07922522 0.07395799 0.14940666],"[9.8793338e-05 1.7917911e-04 1.9673300e-04 ... 1.4990586e-04 9.0666726e-05
 8.0840960e-05]",[0.00787964 0.00133463 0.00668247 ... 0.0039145  0.01342371 0.00234559],"[[0.45650411]
 [0.40693106]
 [0.48396591]
 ...
 [0.4127636 ]
 [0.44148038]
 [0.37657326]]","[[-0.32900685]
 [ 0.18291548]
 [-0.81869197]
 ...
 [ 1.2358475 ]
 [ 0.66590106]
 [-0.5626044 ]]",[3.5695333 3.855334  2.2245321 ... 5.975353  5.1528983 3.7149649],"[[ 0.03210504]
 [ 0.03036489]
 [-0.02646511]
 ...
 [ 0.03867085]
 [ 0.11616071]
 [-0.02093557]]"
0.05,[0.08338122 0.22647624 0.08059171 ... 0.07898842 0.07242908 0.15995987],[0.00053607 0.00022528 0.00027448 ... 0.0006027  0.00018638 0.00080064],[0.03079987 0.00219609 0.00936539 ... 0.02543719 0.02754186 0.01036208],"[[0.44129255]
 [0.54564715]
 [0.57271093]
 ...
 [0.46249389]
 [0.41600245]
 [0.43568819]]","[[4.363307  ]
 [1.8747184 ]
 [0.15452918]
 ...
 [2.9940383 ]
 [2.2039278 ]
 [4.214649  ]]",[8.244742  6.111117  3.6477895 ... 6.514669  4.977203  8.376008 ],"[[ 4.9379287 ]
 [ 0.34644014]
 [-0.15128955]
 ...
 [ 4.503492  ]
 [ 2.4572723 ]
 [ 0.5510245 ]]"
0.1,[0.08972999 0.21544078 0.07337999 ... 0.08362644 0.07861067 0.14913268],[0.00173607 0.00026438 0.00088308 ... 0.00417021 0.00039999 0.00168036],[0.05289084 0.00451702 0.01133233 ... 0.01764116 0.01884929 0.03403227],"[[0.29955944]
 [0.34951357]
 [0.34498061]
 ...
 [0.34376082]
 [0.30851909]
 [0.39096268]]","[[ 2.7400692]
 [ 1.1152071]
 [-1.539131 ]
 ...
 [ 1.5404102]
 [ 1.1921015]
 [ 5.1061506]]",[ 6.272866   2.9467227 -0.5210399 ...  4.259591   2.497853   8.148097 ],"[[ 5.499799  ]
 [-0.5237147 ]
 [ 0.6876935 ]
 ...
 [ 0.1953405 ]
 [-0.10489769]
 [ 5.759624  ]]"
0.25,[0.09395406 0.21425818 0.07585201 ... 0.08596589 0.08125678 0.14481553],[0.01210419 0.00598271 0.00670392 ... 0.00468165 0.00301328 0.00966041],[0.11360481 0.0472232  0.11342558 ... 0.00579737 0.0757214  0.04383529],"[[0.55106421]
 [0.44056386]
 [0.45572672]
 ...
 [0.40207637]
 [0.56861686]
 [0.46597982]]","[[2.9291706 ]
 [1.0157342 ]
 [0.82476634]
 ...
 [2.9599235 ]
 [3.1799333 ]
 [4.7207637 ]]",[4.4505982 2.6330452 2.4342031 ... 4.350223  4.647339  6.464694 ],"[[0.11923817]
 [1.2564826 ]
 [0.3913515 ]
 ...
 [0.0214872 ]
 [2.400172  ]
 [5.8493648 ]]"
0.5,[0.08970539 0.19725968 0.07091141 ... 0.07977913 0.07581057 0.13328591],[0.01584489 0.00927768 0.02509053 ... 0.01253104 0.0051593  0.01462283],[0.1100786  0.0577931  0.15629396 ... 0.05150644 0.08722462 0.06100287],"[[0.52850711]
 [0.53056807]
 [0.51330514]
 ...
 [0.55212108]
 [0.55072756]
 [0.55655838]]","[[2.0133085]
 [2.2223992]
 [0.7777581]
 ...
 [1.8128375]
 [2.846171 ]
 [3.8191102]]",[3.6424422 3.9649405 2.231955  ... 3.652063  4.490537  5.5986195],"[[2.3433385 ]
 [0.8909582 ]
 [0.05362808]
 ...
 [4.7632666 ]
 [5.375094  ]
 [5.0982175 ]]"
0.75,[0.09268362 0.17782308 0.05796572 ... 0.08281088 0.0801814  0.11960369],[0.01720901 0.02207033 0.03165216 ... 0.01624776 0.01884571 0.01427452],[0.15142436 0.09757434 0.27810156 ... 0.14516518 0.09653504 0.05360033],"[[0.42958093]
 [0.44828766]
 [0.46087864]
 ...
 [0.58739138]
 [0.48498013]
 [0.43924437]]","[[1.5947074 ]
 [2.7592802 ]
 [0.39338118]
 ...
 [2.5507908 ]
 [3.9687576 ]
 [3.6559706 ]]",[3.0867682 4.1534057 1.9804674 ... 4.601956  5.8739347 5.759606 ],"[[1.8377613 ]
 [0.14137393]
 [1.1475803 ]
 ...
 [0.37680426]
 [5.578803  ]
 [0.43576127]]"
1,[0.07917784 0.16664727 0.05197918 ... 0.07064612 0.06430412 0.11429749],[0.0383949  0.03688755 0.02865607 ... 0.01923504 0.0264547  0.01071053],[0.23327841 0.14159051 0.34984371 ... 0.12426509 0.17192313 0.03410956],"[[0.5488917 ]
 [0.43345661]
 [0.49471667]
 ...
 [0.42355922]
 [0.43811766]
 [0.3351956 ]]","[[1.7480018 ]
 [3.4199982 ]
 [0.26816878]
 ...
 [1.9199767 ]
 [3.8608587 ]
 [2.8514795 ]]",[3.2507658 5.106184  2.0791106 ... 3.7022119 6.061581  4.3906984],"[[1.817228  ]
 [5.2686415 ]
 [5.6699677 ]
 ...
 [1.4040118 ]
 [0.09814607]
 [0.01304822]]"
