,GANomaly,XGBOD,DeepSAD,REPEN,DevNet,PReNet,FEAWAD
0.01,,,,,,,
0.05,,,,,,,
0.1,,,,,,,
0.25,,,,,,,
0.5,,,,,,,
0.75,,,,,,,
1.0,,,,,,,
0.01,0.4615969536568634,0.4855011541819092,0.5543252907635345,0.7592917584915944,0.22871904819996736,0.2019023801338122,0.24506862510555574
0.05,0.4561436223725924,0.5799419898824906,0.6921882401775713,0.6590541887218129,0.5945059119146112,0.5796780014670865,0.6186357997601329
0.1,0.46759838271943316,0.6742647140369751,0.6088623267736932,0.79941775998403,0.4409297699716247,0.5001056745824903,0.7647815292870688
0.25,0.4714604956090389,0.48558492544951304,0.5074108063746964,0.37431180814438925,0.40384032839921225,0.4257693885925318,0.670742795670986
0.5,0.5030621071860301,0.5286373761650741,0.5824852697236775,0.8536159877563243,0.2227942609354181,0.22624429048310873,0.4885846101685248
0.75,0.5316201481979077,0.4567492708136943,0.48123523605673796,0.8240798627339456,0.18788774412492099,0.2093972746414273,0.28751713053108213
1,0.5459922082819086,0.528942675895897,0.5304677090479306,0.5935003794462145,0.28014648683503834,0.3128452445645715,0.6418949813287113
